id,qid1,qid2,sentence1,sentence2,is_duplicate
89,179,180,The men are playing cricket.,The men are playing basketball.,0
90,181,182,A man rides off on a motorcycle.,A man is riding on a motorcycle.,1
91,183,184,A man is playing a guitar.,A man is singing and playing a guitar.,1
92,185,186,The man talked on the telephone.,The man is talking on the phone.,1
93,187,188,A man is fishing.,A man is exercising.,0
94,189,190,A man is levitating.,A man is talking.,0
95,191,192,Two boys are driving.,Two bays are dancing.,0
96,193,194,A man is riding on a horse.,A girl is riding a horse.,0
97,195,196,A man is riding a bicycle.,A monkey is riding a bike.,0
98,197,198,A man is slicing potatoes.,A woman is peeling potato.,0
99,199,200,A woman is peeling a potato.,A man is slicing potato.,0
100,201,202,A man is playing a guitar.,Someone is playing guitar.,1
101,203,204,A woman is slicing a leek.,A woman is slicing ginger.,1
102,205,206,The man cut a paper plate.,A man is cutting a paper plate.,1
103,207,208,The man is playing the guitar.,A man is playing the flute.,0
104,209,210,A man is playing the piano.,The man is playing the violin.,0
105,211,212,A woman is slicing up some meat.,A woman is breading some meat.,1
106,213,214,A man is playing on his keyboard.,A man is playing a keyboard piano.,1
107,215,216,The lady chopped up the green onions.,The lady cut up a green onion.,1
108,217,218,Someone is sitring noodles in water.,A woman is boiling noodles in water.,1
109,219,220,Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.,1
110,221,222,A man is playing a piano.,A person is playing the piano.,1
111,223,224,A woman is playing flute.,A woman plays on a flute.,1
112,225,226,A boy is checking a calender.,A boy is looking at a calendar.,1
113,227,228,A woman is cutting an onion.,A woman is chopping onions.,1
114,229,230,A man is playing guitar.,A man plays a guitar.,1
115,231,232,A woman is using a sewing machine.,A woman is sewing on a machine.,1
116,233,234,A woman is flipping pancakes.,A cartoon chef is flipping pancakes.,0
117,235,236,A man is running on the road.,A car is driving down the road.,0
118,237,238,A man is riding on a horse.,A man is talking on a phone.,0
119,239,240,A man is riding a bike.,A man is riding on a horse.,0
120,241,242,A woman is dancing.,A man is eating.,0
121,243,244,A man is playing a piano.,A man is playing a flute.,0
122,245,246,A man is playing a flute.,A man is playing a piano.,0
123,247,248,A man is spinning.,A man is dancing.,1
124,249,250,A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,1
125,251,252,The people got off the train.,The people got off the train at the station.,1
126,253,254,A dog is jumping on a trampoline.,A dog bounces on a trampoline.,1
127,255,256,A boy is playing an instrument.,A man is playing a trumpet.,1
128,257,258,A woman plays the guitar.,A man sings and plays the guitar.,0
129,259,260,A woman is picking a can.,A woman is slicing a tomato.,0
130,261,262,A man is climbing a rope.,A man climbs up a rope.,1
131,263,264,A man is lifting a car.,A man is climbing a wall.,0
132,265,266,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,1
133,267,268,The shirtless man sat in a chair.,A shirtless man is sitting on a chair.,1
134,269,270,Two women are wrestling.,Two women are wrestling on the floor.,1
135,271,272,The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.,1
136,273,274,A kangroo is eating something.,A kangaroo is eating.,1
137,275,276,A cat is playing a piano.,A man is playing a guitar.,0
138,277,278,The man cut some carpet with a knife.,A man is cutting carpet with a knife.,1
139,279,280,A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.,0
140,281,282,someone is slicing a vegetable.,Someone is slicing a tomato.,1
141,283,284,A woman is dancing.,A man is talking.,0
142,285,286,A dog licks up a baby's drool.,A dog licks a baby.,1
143,287,288,A man is rowing a boat.,A man is slicing a tomato.,0
144,289,290,A man cuts up potatos.,A man slices potatoes.,1
145,291,292,A woman is chopping up garlic.,The woman is dicing garlic.,1
146,293,294,An animal run in circles.,A squirrel runs in circles.,1
147,295,296,A man is walking slowly across a rope bridge.,A boy is walking across a bridge.,1
148,297,298,A man is playing the guitar.,A man seated in a room is playing the guitar.,1
149,299,300,A man plays the flute.,A man is playing a flute.,1
150,301,302,A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.,1
151,303,304,A man is cutting a fish.,A man guts a fish.,1
152,305,306,Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.,1
153,307,308,A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,1
154,309,310,A man is slicing something.,A man is slicing a bun.,1
155,311,312,A man is paddling a canoe.,A man is playing a harp.,0
156,313,314,A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.,1
157,315,316,The woman picked up the kangaroo.,A woman picks up a baby kangaroo.,1
158,317,318,Fish are swimming.,A fish is swimming.,1
159,319,320,Two women mix something in a food processor.,Two women make something in a blender.,1
160,321,322,A person is surfing a large wave.,A person is surfing.,1
161,323,324,A man is playing a guitar.,A man is stabbing a target.,0
162,325,326,A man is playing a flute in a band.,A man is playing a guitar.,0
163,327,328,The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,1
164,329,330,A person is boiling noodles.,A woman is boiling noodles in water.,1
165,331,332,A group of people dance on a hill.,A group of people are dancing.,1
166,333,334,A man is dancing outside.,A man is playing flute.,0
167,335,336,A woman is feeding a man.,A woman is mixing meat.,0
168,337,338,A man is putting a pan into an oven.,A woman is cutting an onion.,0
169,339,340,A woman is sitting at a desk.,A woman is riding a donkey.,0
170,341,342,Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.,0
171,343,344,A woman is playing a flute on stage.,The woman is playing the flute.,1
172,345,346,Two baby pandas are playing.,Two pandas are laying together.,1
173,347,348,A baby is laughing.,A baby is laughing and giggling.,1
174,349,350,A man is playing a guitar.,A boy is playing a piano.,0
175,351,352,A man is folding paper.,A woman is slicing a pepper.,0
176,353,354,Three women are dancing.,The man is dancing.,0
177,355,356,The cats are playing with each other.,Two cats are fighting each other.,0
178,357,358,A person is writing.,A person is writing with a pencil.,1
179,359,360,A man is running.,A man is running down a road.,1
180,361,362,The woman is rolling dough.,A woman is flouring and rolling dough.,1
181,363,364,A woman is adding spices on a meat.,Woman is adding sugar to meat.,1
182,365,366,A woman is adding oil on fishes.,A woman is pouring water on fish.,0
183,367,368,A young boy is holding a guitar.,A little boy is playing a guitar.,1
184,369,370,A cheetah is running.,A cheetah is running across a field.,1
185,371,372,The man is eating pizza.,A man is eating a slice of pizza.,1
186,373,374,An orangutan is riding a bus.,A monkey is riding on a bus.,1
187,375,376,A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.,0
188,377,378,A man is playing a guitar.,A man is cleaning a glass door.,0
189,379,380,A girl is singing and playing a guitar.,A young man is singing while playing the guitar.,1
190,381,382,A girl is communicating with sign language.,A young girl is using sign language.,1
191,383,384,A woman is doing weight exercises.,A woman is doing her hair.,0
192,385,386,A man is getting inside a car.,An elderly man is getting into a red car.,1
193,387,388,A big green ball knocks a potato over.,A large green ball hits a potato.,1
194,389,390,A cat is playing keyboards.,A cat is playing a piano.,1
195,391,392,Two dogs swim in a pool.,Dogs are swimming in a pool.,1
196,393,394,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.,0
197,395,396,A woman slices tofu.,A woman is cutting tofu.,1
198,397,398,A herd of deer are crossing the street.,A herd of caribou are crossing a road.,1
199,399,400,The person is riding the horse.,A man is riding a horse.,1
200,401,402,Someone is feeding a animal.,Someone is playing a piano.,0
201,403,404,Someone is slicing tortila's.,Someone is riding a horse.,0
202,405,406,Someone is mixing ingrediants.,Someone is sewing things.,0
203,407,408,A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.,1
204,409,410,A woman holds a kangaroo.,A woman is picking up a kangaroo.,1
205,411,412,A man is playing with frogs,A man is playing with frogs,1
206,413,414,Two men are talking.,Two men are playing guitar.,0
207,415,416,A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.,1
208,417,418,A man is running across a high wire.,A man is running on rope.,0
209,419,420,A man is mowing a lawn.,A woman is cutting a lemon.,0
210,421,422,A man is opening a door.,A man is playing a guitar.,0
211,423,424,A man is slicing a potato into pieces.,A man is cutting a potato.,1
212,425,426,The woman is cutting cooked octopus.,A woman is chopping octopus.,1
213,427,428,A man is punching through boards.,A dog is running through water.,0
214,429,430,A man is dancing.,A man is eating bread.,0
215,431,432,Someone is playing a piano.,A man is playing a guitar.,0
216,433,434,Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.,1
217,435,436,A boy is playing a key-board.,A boy is playing the piano.,1
218,437,438,A person plays a keyboard.,Someone is playing a keyboard.,1
219,439,440,A man is shooting a gun.,A man is spitting.,0
220,441,442,Someone is slicing an onion.,Someoen is peeling a potato.,1
221,443,444,A man is swimming.,A woman is slicing meat.,0
222,445,446,A man is playing the guitar.,A man plays an acoustic guitar.,1
223,447,448,A woman is slicing a pumpkin.,A woman is riding an elephant.,0
224,449,450,A woman is dancing.,A woman is kneading dough.,0
225,451,452,A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.,0
226,453,454,A car is moving through a road.,A car is driving down the road.,1
227,455,456,Someone is greasing a pan.,S0meone is laying down.,0
228,457,458,A man is playing guitar.,A man is draining pasta.,0
229,459,460,A woman is drinking vodka.,A woman is exercising.,0
230,461,462,A woman is cutting meat into pieces.,A woman is cutting up some meat.,1
231,463,464,A man is rinsing a steak.,A man is playing a guitar.,0
232,465,466,A man is selling items.,A man is cleaning the house.,0
233,467,468,A man is jumping a wall.,A man jumps onto a short wall.,1
234,469,470,Runners race around a track.,Runners compete in a race.,1
235,471,472,A man is kicking a soccer ball.,A man is mixing a bowl.,0
236,473,474,A woman is frying something.,A woman is riding a horse.,0
237,475,476,A cat is licking a sucker.,A woman is slicing cucumber.,0
238,477,478,A woman is dancing by a fire.,A woman is taking a bath.,0
239,479,480,The man is slicing a fish open.,A man is slicing a potato.,0
240,481,482,Butter is melting in a pan.,A man is melting butter in a pan.,1
241,483,484,Three boys are dancing.,Kids are dancing.,1
242,485,486,A woman is playing a game with a man.,A man is playing piano.,0
243,487,488,The man is driving a white car.,A man is giving an interview.,0
244,489,490,A man drove his car.,A man is driving a car.,1
245,491,492,A car backs out of a space.,A car is backing out of a blocked lane.,1
246,493,494,A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.,1
247,495,496,The boy is playing the piano.,A boy plays a piano.,1
248,497,498,The man played his guitar.,A man is playing a guitar.,1
249,499,500,A man is riding a horse.,A man is playing a keyboard.,0
250,501,502,A man is walking on a rope.,A man is riding a mo-pad.,0
251,503,504,A girl is playing a flute.,A band is playing on a stage.,0
252,505,506,People step off a train.,A group of people get off a train.,1
253,507,508,A woman is sewing on a machine.,A woman is breading some meat.,0
254,509,510,A dog is looking into swimming pool.,A dog is walking around a pool.,1
255,511,512,A man is buttering a piece of bread.,A man is applying butter to bread.,1
256,513,514,A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.,0
257,515,516,Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.,1
258,517,518,A lion is walking.,A lion is pacing in a pen.,0
259,519,520,A man shooting a car.,A man is cutting a potato.,0
260,521,522,A black horse is running around.,The horse is running.,1
261,523,524,A woman is deveining shrimp.,A man is dancing in rain.,0
262,525,526,A man is riding a horse.,A woman is washing a freezer.,0
263,527,528,A man walks down a path.,A man walks across a tight rope.,0
264,81,529,A man is slicing a potato.,A woman is cutting a jalepeno.,0
265,530,531,A dog is barking at a ball.,A dog swims after a tennis ball.,0
266,532,533,A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.,1
267,534,535,A man is walking along a path through wilderness.,A man is walking down a road.,1
268,536,537,An elderly man is speaking at a podium.,A man is making a speech at the podium.,1
269,538,539,A man riding a horse in slow motion.,A man is riding on a horse.,1
270,540,541,A person is cutting some burrata cheese.,The person is slicing cheese.,1
271,542,543,The man is shooting an automatic rifle.,A man is shooting a gun.,1
272,544,545,A man is crushing garlic with the back of a knife.,A woman is slicing meat with a knife.,0
273,546,547,A woman is filing her fingernails with an emery board.,A woman is feeding her baby with a bottle.,0
274,548,549,A man is riding a skateboard.,A woman is cutting a potato.,0
275,550,551,A woman is taking a shower.,A man is riding a white horse.,0
276,552,553,A  man is dancing.,A man is riding a horse.,0
277,554,555,A man is rowing a boat.,A man is shooting off a gun.,0
278,556,557,A man is swinging from a rope attached to the ceiling.,A man is swinging on a rope.,1
279,558,559,A woman is riding a horse on a beach.,A man is carrying another man on his back.,0
280,560,561,A man holds a small animal in one hand.,A man shows off a small monkey.,1
281,562,563,A person is folding a square paper piece.,A man is folding paper.,1
282,564,565,A person is frying meat in a pan.,A person is holding a skunk.,1
283,566,567,A chimpanzee is hurting a woman.,A man is driving a car.,0
284,568,569,The woman is peeling shrimp.,The man is holding a lemur.,1
285,570,571,Two zebras are playing.,Zebras are socializing.,1
286,572,573,A woman is slicing butter.,A woman slices tofu.,0
287,574,575,Some men are playing guitars.,Three men are playing guitars and singing together.,1
288,576,577,The elephants sprayed water on themselves.,Elephants spray themselves with water.,1
289,578,579,A dog sat at the counter of a store.,The dog is standing at the counter.,1
290,580,581,Someone drills a hole in a strip of wood with a power drill.,A man drills a hole in a piece of wood.,1
291,582,583,A woman is slicing some vegetables.,The woman is dicing garlic.,1
292,584,585,A badger is burrowing a hole.,A badger is digging the earth.,1
293,586,587,A woman is water skiing on a lake.,A man is playing a flute.,0
294,588,589,A girl is playing a violin.,A baby is laughing and giggling.,0
295,590,591,A helicopter is landing on a helipad.,A helicopter lands.,1
296,592,593,A woman is cutting up a chicken.,A woman is slicing meat.,1
297,594,595,A woman is cutting a cucumber.,A man is playing a guitar.,0
298,596,597,A woman rides an elephant in front of an adoring crowd.,A woman rides an elephant.,1
299,598,599,A puppy is sliding backwards along the floor.,A puppy is pushing itself backwards.,1
300,600,601,A woman splits garlic cloves.,A woman is breaking a head of garlic into cloves.,1
301,602,603,A dog is looking into swimming pool.,A dog is walking along the edge of a pool.,1
302,604,605,A woman mixes a beauty treatment in a glass.,A woman is mixing a cream in a glass with a spoon.,1
303,606,607,A man is drawing a picture.,A person is drawing.,1
304,608,609,A woman is picking tomatoes.,A woman is pouring batter into a bowl.,0
305,610,611,A man is looking at a computer monitor.,A man is using a laptop.,1
306,612,613,The boy is riding a tricycle.,A woman is riding a water scooter.,0
307,614,615,Two men compete in a tire rolling race.,Two people flipped tractor tires in a race.,1
308,616,617,A person is cutting a meat.,A person riding a mechanical bull,0
309,618,619,A man is playing a violin.,A woman is using a sewing machine.,0
310,620,621,The baby crawled through the doorway.,A baby is crawling across the floor.,1
311,622,623,A man is playing keyboard.,A person is playing a piano.,1
312,624,625,A man is smelling two pizzas.,A woman is feeding a man.,0
313,626,627,A monkey pulls the tail of a dog.,A monkey is teasing a dog at the zoo.,1
314,628,629,A dog lies on his back on a wooden floor.,A dog is laying on the floor.,1
315,630,631,A woman is frying something in the pan.,A man is playing his guitar.,0
316,632,633,A man puts seasoning in a bowl of water.,The man added seasoning to water in a bowl.,1
317,634,635,An elderly woman is pouring oil into a frying pan.,A tied man is putting into water.,0
318,636,637,A woman is chopping an onion.,A woman is slicing partially into half of an onion.,1
319,638,639,The woman picked up the kangaroo.,A woman is carrying a kangaroo.,1
320,640,641,A dog biting on a can.,A dog opens a can of food.,1
321,642,643,A woman is deboning a fish.,A man catches a fish.,0
322,644,645,A man is mowing grass.,A man is busting concrete.,0
323,646,647,A cat is watching a TV.,A man is slicing a leave.,0
324,648,649,The boy is stuck in the door of the doghouse.,A child is stuck in a dog house.,1
325,650,651,People flip into a swimming pool.,Men are falling into a pool.,1
326,652,108,A woman swims underwater.,A woman is swimming.,1
327,653,654,A man is playing a guitar.,A woman is dancing.,0
328,655,656,An airplane is flying in the air.,A South African Airways plane is flying in a blue sky.,1
329,657,658,A bear is running from two dogs.,A bear is fighting wolves.,0
330,659,660,A woman is resting in a floating raft.,A woman relaxes in an inner tube.,1
331,661,662,A man is dieing in an operating room.,A man is kissing a woman in stage.,0
332,663,664,A man is holding a leaf.,A woman is watching television.,0
333,665,666,A person is riding a horse.,A woman is slicing potatoes.,0
334,667,668,A woman is slicing octopus.,A man is playing the guitar.,0
335,669,670,A man is breaking water jugs.,A woman is peeling garlic.,0
336,671,672,A man is playing a guitar.,A woman is cutting vegetable.,0
337,673,674,A girl is eating a cupcake.,A man is slicing a cucumber.,0
338,675,676,The little girl played on the grass with a dog and a ball.,A baby plays with a dog and ball.,1
339,677,678,People ride and paddle a raft.,Four people are floating on a raft.,1
340,679,680,The lady cut up a potatoe.,A man is cutting a potato.,0
341,681,682,The missile exploded.,A rocket exploded.,1
342,683,684,A dog is playing in the snow.,A dog is pawing at a fly in the carpet before it.,0
343,685,686,A woman is dancing with other women.,A woman is shredding chicken.,0
344,687,688,A boy is pushing a van.,A person is slicing a tomato.,0
345,689,690,A boy is making some dance steps.,A boy is pouring something from a pitcher.,0
346,691,692,A woman is opening a soda and drinking it.,A woman is riding on an elephant.,0
347,693,694,A man is assembling speaker parts.,A man is playing the guitar.,0
348,695,696,The dog walked along the edge of the pool.,A dog is walking along a pool.,1
349,697,698,Butter is being put into a bowl.,A man cutting butter into a mixing bowl.,1
350,699,700,Raccoons are eating.,A man is eating.,0
351,701,702,Someone fell off a horse.,A man gets knocked off of a horse.,1
352,703,704,A woman peels an apple.,A man pops wheelies on a motorcycle.,0
353,705,134,A man is taking some math classes.,A man is rinsing a steak.,0
354,706,707,Animals are playing in water.,Two men are playing ping pong.,0
355,708,709,A man is riding a horse and jumping over obstacles.,A man is kicking a soccer ball.,0
356,710,711,A person is doing pencil tricks with his hand.,A person is slicing carrots in half.,0
357,712,713,The person lit the cameras on fire.,A person is blow torching cameras.,0
358,714,715,The man is slicing the tape from the box.,A man is cutting open a box.,1
359,716,717,A man is fishing in the river.,A man is singing while walking down the sidewalk.,0
360,718,719,A man is riding a bike.,A woman is dancing in the street.,0
361,720,721,A man is doing push-ups.,A woman is cutting some octopus.,0
362,722,723,A man is playing guitar.,A woman is slicing up some pork.,0
363,724,725,The little boy is singing and playing the guitar.,A baby is playing a guitar.,1
364,726,727,A woman is powdering her face.,The woman is tapping her fingers on the table.,0
365,728,729,A woman is peeling a potato.,A lion is walking around.,0
366,730,731,A woman is firing a rifle.,A man is performing stunts.,0
367,732,733,A woman puts a garland over a man's shoulders.,A man pours water over a pilots head.,0
368,734,735,An old woman is shaking hand with a man.,A man and a woman shake hands.,1
369,736,737,The woman is waterskiing.,A woman is wake boarding on a lake.,1
370,738,739,Trees are bending in storm.,Trees are hit by very hard winds.,1
371,740,741,A man and woman is riding in a car.,A woman is frying shrimp.,0
372,742,743,A man is moving a tree limb.,The woman is playing the violin.,0
373,744,745,A man plays a piano.,A woman is playing the violin.,0
374,746,747,A person pours oil on a skillet.,A person is dicing an onion.,0
375,748,749,The animal is eating.,A woman is dancing.,0
376,750,751,The woman is walking her dog.,A woman walks her dog down the street.,1
377,752,753,A group of people sing.,Some people are singing.,1
378,754,755,The cat is drinking milk.,A cat is licking from a saucer of milk.,1
379,756,757,A girl is making eyelid.,A woman is applying eyeshadow.,0
380,758,759,Two men are fighting.,Two men are fighting using a form of martial arts.,1
381,760,761,The military officer barked at the recruits.,An officer is talking to recruits.,1
382,762,763,The man is putting chicken into the container.,A man is putting foods in a box.,1
383,764,765,A man is tying on a stenographers machine.,the man used a stenograph.,1
384,766,767,A woman is adding pasta to a pot of water.,A woman is making noodles.,0
385,768,769,A woman is lying on a blanket on a rock and reading a book.,A woman seated is singing a song and playing the guitar too.,0
386,770,771,Two puppies are playing with each other.,Some men are playing soccer.,0
387,772,773,A man is running on a field.,A man climbs up a rope.,0
388,774,775,A man is hugging someone.,A man is taking a picture.,0
389,776,777,Someone is pouring ingrediants into a pot.,A man puts vegetables into a pot.,1
390,778,779,A couple are walking.,Some men are sawing.,0
391,780,781,A person is playing a guitar.,The man played his guitar.,1
392,782,783,A person is adding food in a pan.,A woman puts rice into a pan.,1
393,784,785,A group of penguins is walking.,A large amount of penguins are heading to the ocean.,1
394,786,787,A man is playing a guitar.,Someone is handling a bun.,0
395,788,789,A dog is jumping on a trampoline.,A boy is playing a guitar.,0
396,790,791,A man is shaking a container over a kitchen sink.,A man is emptying a plastic container.,1
397,792,793,A man is walking with a horse.,A man is leading a horse around by it's halter.,1
398,794,795,Paper is being cut with scissors.,A piece of paper is being cut.,1
399,796,797,A person peels shrimp.,The lady peeled the shrimp.,1
400,798,799,A man is playing a guitar.,A man tries to read the paper.,0
401,800,801,A man making a bed in a hotel.,A man is holding a animal.,0
402,802,803,The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.,0
403,804,805,A woman beats two eggs in a bowl.,A person is mixing ingredients in a bowl.,1
404,806,807,A man is jumping rope outside.,A woman is slicing a cucumber.,0
405,808,809,A person is slicing some onions.,A hamster is singing.,0
406,810,811,A woman holds a kangaroo.,A man in a hat sings a song.,0
407,812,813,Soccer players are kicking a soccer ball into the goal.,A soccer player scores a goal.,1
408,814,815,A woman is cooking something.,A woman is pouring ingredients into a frying pan.,1
409,816,817,A woman is swimming in the beach.,A woman splashes around in the ocean's waves.,1
410,818,819,A man is carrying another man.,A man sprays another man with water from a hose.,0
411,820,821,The woman is putting paste into a dish.,A woman is pulling some kind of sticky goo out of a bowl.,1
412,822,823,A man is holding up and talking about a gray You Tube T-shirt.,A man is showing a t shirt.,1
413,824,825,Someone pours olive oil into a bowl of tomato wedges.,The man poured oil on the tomato slices.,1
414,826,827,A man is playing the guitar.,The man played his guitar with a friend.,1
415,828,829,Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.,0
416,830,831,A person is peeling a potato.,A cat is licking a small bottle.,0
417,832,833,A cat is jumping into a box.,A young man is talking to a leaf.,0
418,834,835,The woman is seasoning the oil.,A woman is pouring ingredients in a bowl.,0
419,836,837,A cat is sliding upside down under a couch.,A cat is crawling under a piece of furniture on it's back.,1
420,838,839,A woman dances while a man plays the keyboard.,A woman is dancing on a stage.,1
421,840,841,A chef is cleaning up a bowl of soup.,A man is wiping the edge of a bowl off.,1
422,842,843,An explosion is booming in the desert.,A nuclear weapon explodes in a desert.,1
